stop_loss,profit_target,n_trades,win_rate,profit_factor,avg_ret,sharpe,is_current,is_optimal
0.02,0.025,42,0.5952,1.4815,0.006671,1.14,False,False
0.02,0.03,42,0.5714,1.553,0.007984,1.2096,False,False
0.02,0.05,42,0.5238,1.7851,0.012606,1.2542,False,False
0.02,0.07,42,0.5238,2.3643,0.021904,1.6433,False,False
0.02,0.1,42,0.4762,2.5691,0.027326,1.5199,False,False
0.02,0.12,42,0.4762,2.9282,0.03358,1.6673,False,False
0.02,0.15,42,0.4762,3.1505,0.037453,1.691,False,True
0.02,0.2,42,0.4762,3.3269,0.040525,1.5432,False,False
0.02,none,42,0.4762,3.7032,0.047078,1.5017,False,False
0.03,0.025,42,0.6905,1.6587,0.009276,1.3669,False,False
0.03,0.03,42,0.6667,1.6685,0.010137,1.2753,False,False
0.03,0.05,42,0.5714,1.5523,0.010842,0.8402,False,False
0.03,0.07,42,0.5714,2.0557,0.020722,1.2965,False,False
0.03,0.1,42,0.5476,2.5044,0.030253,1.4065,False,False
0.03,0.12,42,0.5476,2.6843,0.033871,1.4212,False,False
0.03,0.15,42,0.5476,2.8769,0.037744,1.4587,False,False
0.03,0.2,42,0.5476,3.0297,0.040816,1.3557,False,False
0.03,none,42,0.5476,3.3556,0.047369,1.3393,False,False
0.04,0.025,42,0.7143,1.632,0.009189,1.2521,False,False
0.04,0.03,42,0.6905,1.6434,0.010049,1.1808,False,False
0.04,0.05,42,0.619,1.646,0.012749,0.9398,False,False
0.04,0.07,42,0.619,2.1556,0.022807,1.3624,False,False
0.04,0.1,42,0.5952,2.6331,0.033014,1.4334,False,False
0.04,0.12,42,0.5952,2.7411,0.035197,1.3928,False,False
0.04,0.15,42,0.5952,2.9326,0.039069,1.4292,False,False
0.04,0.2,42,0.5952,3.0846,0.042141,1.3324,False,False
0.04,none,42,0.5952,3.4088,0.048695,1.3163,False,False
0.05,0.025,42,0.7619,1.841,0.01202,1.4739,False,False
0.05,0.03,42,0.7381,1.9171,0.013516,1.4714,False,False
0.05,0.05,42,0.6667,1.803,0.015793,1.051,False,False
0.05,0.07,42,0.6667,2.3845,0.027231,1.4684,False,False
0.05,0.1,42,0.6429,2.9252,0.038789,1.5534,False,False
0.05,0.12,42,0.6429,3.0984,0.042279,1.5316,False,False
0.05,0.15,42,0.6429,3.329,0.046925,1.5714,False,False
0.05,0.2,42,0.6429,3.5531,0.051441,1.47,False,False
0.05,none,42,0.6429,4.1297,0.063059,1.4147,False,False
0.06,0.025,42,0.7619,1.7318,0.011119,1.2895,False,False
0.06,0.03,42,0.7381,1.8066,0.012614,1.3036,False,False
0.06,0.05,42,0.6905,1.9152,0.017519,1.1493,False,False
0.06,0.07,42,0.6905,2.5485,0.029642,1.5677,False,False
0.06,0.1,42,0.6667,3.0885,0.040983,1.6237,False,False
0.06,0.12,42,0.6667,3.2664,0.044474,1.5956,False,False
0.06,0.15,42,0.6667,3.5032,0.04912,1.6308,False,False
0.06,0.2,42,0.6667,3.7333,0.053635,1.5218,False,False
0.06,none,42,0.6667,4.3254,0.065254,1.455,False,False
0.07,0.025,42,0.7619,1.5182,0.008982,0.9034,False,False
0.07,0.03,42,0.7381,1.5894,0.010477,0.9483,False,False
0.07,0.05,42,0.6905,1.8183,0.016499,0.9923,False,False
0.07,0.07,42,0.6905,2.4196,0.028623,1.4192,False,False
0.07,0.1,42,0.6667,2.936,0.039964,1.507,False,False
0.07,0.12,42,0.6667,3.1051,0.043454,1.4912,False,False
0.07,0.15,42,0.6667,3.3301,0.0481,1.5328,False,False
0.07,0.2,42,0.6667,3.5489,0.052616,1.4409,False,False
0.07,none,42,0.6667,4.1117,0.064234,1.3928,True,False
0.08,0.025,42,0.7857,1.638,0.010603,1.067,False,False
0.08,0.03,42,0.7619,1.709,0.012099,1.0958,False,False
0.08,0.05,42,0.6905,1.8065,0.016368,0.9518,False,False
0.08,0.07,42,0.6905,2.4039,0.028491,1.3773,False,False
0.08,0.1,42,0.6667,2.9174,0.039832,1.4733,False,False
0.08,0.12,42,0.6667,3.0854,0.043323,1.4605,False,False
0.08,0.15,42,0.6667,3.3091,0.047968,1.5036,False,False
0.08,0.2,42,0.6667,3.5264,0.052484,1.4166,False,False
0.08,none,42,0.6667,4.0857,0.064102,1.3733,False,False
0.1,0.025,42,0.7857,1.6225,0.010444,1.0353,False,False
0.1,0.03,42,0.7619,1.6932,0.011939,1.0666,False,False
0.1,0.05,42,0.6905,1.9619,0.017975,1.0696,False,False
0.1,0.07,42,0.6905,2.6107,0.030099,1.4777,False,False
0.1,0.1,42,0.6667,3.1621,0.041439,1.5532,False,False
0.1,0.12,42,0.6667,3.3442,0.04493,1.5318,False,False
0.1,0.15,42,0.6667,3.5866,0.049576,1.5696,False,False
0.1,0.2,42,0.6667,3.8222,0.054092,1.472,False,False
0.1,none,42,0.6667,4.4283,0.06571,1.4146,False,False
